Title,Link,Venue,Performance Date,Cast & Creatives,calender_link
101 Dalmatians,https://www.lovetheatre.com/shows/101-dalmatians-tickets/,Eventim Apollo,18th July to Saturday 30th August 2025,"Sydnie Christmas (Cruella De Vil), Jeff Brazier (Casper), JLS’ Aston Merrygold (Jasper), Laura Baldwin (Danielle), Dylan Collymore (Ensemble), Victoria Compson-Bradford (Swing), Benedict Hastings (Ensemble), Linford Johnson (Pongo), Lottie Johnson (Ensemble), Rachel Lea-Gray (Ensemble), Kenan Lewis Smith (Ensemble), Callum Martin (Ensemble), Ronan O’Hara (Swing), Joe Sleight (Ensemble), Samuel Thomas (Tom), Emma Thornett (Perdi), Chioma Uma (Ensemble), and Jhanaica Van Mook (Ensemble).",https://secure.lovetheatre.com/book/1GWTR-101-dalmatians-the-musical/
50 First Dates,https://www.lovetheatre.com/shows/50-first-dates-tickets/,The Other Palace,14 September – 16 November 2025.,"David Rossmer(Writer),Steve Rosen(Writer),Casey Nicholaw(Choreography),Georgina Castle(Actor),Josh St. Clair(Actor)",https://secure.lovetheatre.com/book/1H6NC-50-first-dates/
A Man for All Seasons,https://www.lovetheatre.com/shows/a-man-for-all-seasons-tickets/,Harold Pinter Theatre,6 Aug – 6 Sep 2025,"Robert Bolt (Writer), Jonathan Church (Director)",https://secure.lovetheatre.com/book/1H4XG-a-man-for-all-seasons/
A Midsummer Night's Dream,https://www.lovetheatre.com/shows/a-midsummer-nights-dream-tickets/,Bridge Theatre,31 May – 23 Aug 2025,"Nicholas Hytner (Director), Bunny Christie (Designer), Christina Cunningham (Costume Designer), Bruno Poet (Lighting Designer), Paul Arditti (Sound Designer), Grant Olding (Composer), Arlene Phillips (Movement Director), James Cousins (Associate Director/Associate Movement Director)",https://secure.lovetheatre.com/book/1GZ1J-a-midsummer-night-s-dream-seated/
A Role to Die For,https://www.lovetheatre.com/shows/a-role-to-die-for-tickets/,Marylebone Theatre,26 Jul – 30 Aug 2025.,"Jordan Waller (Writer), Derek Bond (Director)",https://secure.lovetheatre.com/book/1H6BL-a-role-to-die-for/
ABBA Voyage,https://www.lovetheatre.com/shows/abba-voyage-tickets/,ABBA Arena,11 May 2025.,"Agnetha Fältskog, Björn Ulvaeus, Benny Andersson and Anni-Frid Lyngstad (members of ABBA)",https://secure.lovetheatre.com/book/1F4G8-abba-voyage/
Akram Khan's Giselle,https://www.lovetheatre.com/shows/akram-khans-giselle-tickets/,London Coliseum,15 Jan – Sun 18 Jan 2026.,"Akram Khan (Choreography), Mark Henderson (Lighting), Tim Yip (Set Design), Vincenzo Lamagna and English National Ballet Philharmonic (Score).",N/A
Albert Herring,https://www.lovetheatre.com/shows/albert-herring-tickets/,London Coliseum,13 October and Thursday 16 October 2025.,"Caspar Singh (Albert Herring), Leah-Marian Jones (Mrs Herring), Emma Bell (Lady Billows), Mark Le Brocq (Mr Upfold), Sir Willard White (Superintendent Budd), Carolyn Dobbin (Florence Pike), Aoife Miskelly (Miss Wordsworth), Eddie Wade (Mr Gedge), Dan D’Souza (Sid), Anna Elizabeth Cooper (Nancy).",N/A
Alice in Wonderland,https://www.lovetheatre.com/shows/alice-in-wonderland-tickets/,Marylebone Theatre,12 July to 31 August 2025.,"Penny Farrow (Adapter), Nate Bertone (Director and Designer).",https://secure.lovetheatre.com/book/1H0J4-alice-in-wonderland/
All My Sons,https://www.lovetheatre.com/shows/all-my-sons-tickets/,Wyndhams Theatre,14 Nov 2025 – 7 Mar 2026,"Ivo Van Hove (Director), Arthur Miller (Writer)",https://secure.lovetheatre.com/book/1H570-all-my-sons/
An Evening with Tottenham Legends,https://www.lovetheatre.com/shows/an-evening-with-tottenham-legends-tickets/,Gillian Lynne Theatre,6 Oct 2025,Graham Roberts (Host),https://secure.lovetheatre.com/book/1GXA6-an-evening-with-tottenham-legends/
An Evening with West Ham Legends,https://www.lovetheatre.com/shows/west-ham-legends-live-tickets/,Adelphi Theatre,6th June 2026 at 7:30PM.,"Tony Gale, Frank McAvennie, Carlton Cole, Julien Dicks, Tony Cottee, and Sir Trevor Brooking.",https://secure.lovetheatre.com/book/1H8T2-west-ham-legends-live/
Anton & Giovanni Together Again,https://www.lovetheatre.com/shows/anton-giovanni-together-again-tickets/,Theatre Royal Drury Lane,20th July 2025.,"Anton du Beke, Giovanni Pernice",https://secure.lovetheatre.com/book/1H4R6-anton-giovanni-together-again/
Back to the Future The Musical,https://www.lovetheatre.com/shows/back-to-the-future-the-musical-tickets/,Adelphi Theatre,"3rd January 2026. Tickets start from £22.68. Performances run Monday and Wednesday – Saturday 7.30pm, withmatineeson Wednesday & Saturday 2.30pm,Sunday3:00pm.","Caden Brauch (Marty McFly). Cory English (Doctor Emmett Brown). Brian Conley (13 Aug – 3 Nov 2025), Orlando Gibbs (George McFly). Sarah Goggin (Lorraine Baines-McFly). C.J. Borger (Goldie Wilson/Marvin Berry). Alex Runicles (Biff Tannen). Talia Palamathanan (Jennifer Parker). Lee Ormsby (Gerald Strickland/alternate Doctor Emmett Brown). Liam McHugh (Dave McFly). Patricia Wilkins (Linda McFly). Ellis Kirk (alternate Marty McFly).",https://secure.lovetheatre.com/book/1FWK6-back-to-the-future-the-musical/
Beautiful World Cabarets,https://www.lovetheatre.com/shows/beautiful-world-cabarets-tickets/,Charing Cross Theatre,5 July – 13 July 2025.,Janie Dee (Curator).,https://secure.lovetheatre.com/book/1HA2U-beautiful-world-cabarets/
Blue/Orange,https://www.lovetheatre.com/shows/blue-orange-tickets/,Greenwich Theatre,01 Oct to 25 Oct 2025,Joe Penhall (Writer),https://secure.lovetheatre.com/book/1H8PW-blue-orange/
Born With Teeth,https://www.lovetheatre.com/shows/born-with-teeth-tickets/,Wyndhams Theatre,13 Aug – 1 Nov 2025,"Liz Duffy Adams (Writer), Daniel Evans (Director)",https://secure.lovetheatre.com/book/1H5FN-born-with-teeth/
Buffy Revamped,https://www.lovetheatre.com/shows/buffy-revamped-tickets/,Lyric Theatre,22 Sep and 29 Sep 2025,Brendan Murphy (Writer),https://secure.lovetheatre.com/book/1GWNE-buffy-revamped/
Burlesque The Musical,https://www.lovetheatre.com/shows/burlesque-the-musical-tickets/,Savoy Theatre,10 Jul – 6 Sep 2025,"Orfeh (Tess), Todrick Hall (Sean), Jess Folley (Ali Rose), Asha Parker-Wallace (Nikki), Paul Jacob French (Jackson), and George Maguire (Vince) are: Michael Afemare, Callum Bell, Courtenay Brady, Paje Campbell, Sophie Cracknell (Daphne), Hope Dawe (Alternate Ali Rose), Jake DuPree (Trey/Chardonnay), Marlee Fergusson, Angus Good, Charlotte Jaconelli (Queenie), Elly Jay, Idriss Karbo (Alternate Sean), Billie Kay (Sophia), Deja Linton, Hollie-Ann Lowe, Callum MacDonald, Alessia McDermott (Summer), Jess Qualter (Spring), Liam Roodhouse, Janine Somcio, India Thornton (Swing & Dance Captain), and Daniel Wijingaarden.",https://secure.lovetheatre.com/book/1H4G8-burlesque-the-musical/
Cabaret,https://www.lovetheatre.com/shows/cabaret-tickets/,Kit Kat Club at the Playhouse Theatre,4th October 2025. Tickets start from £57 for performances Monday – Saturday at 7:30pm and Wednesday & Saturday at 2pm.,"Hannah Dodd (Sally Bowles), Rob Madge (Emcee), Daniel Bowerbank (Clifford Bradshaw), Sally Ann Triplett (Fraulein Schneider), Fenton Gray (Herr Schultz), Fred Haig (Ernst Ludwig), Jessica Kirton (Fraulein Kost/Fritzie), Damon Gould (Victor), El Haq Lateif (Helga), Hicaro Nicolai (Lulu), Anne-Marie Wojna (Sally Bowles alternate), Ela Lisondra, Andy Rees, Patrick Wilden, Xenoa Campbell-Ledgister, Sam Darius, Adrian Grove, Justin-Lee Jones, Alexandra Regan, Marina Tavolieri, Ben Simon Wilson and Lucy Young. Prologue company: Rachel Benson, Ami Benton, Onyemachi Ejimofor, Joseph Hardy, Liz Kamille, Andrew Linnie, Aine McLoughlin, Jack William Parry, Jazmyn Raikes, Oliver Stockley and Ena Yamaguchi",https://secure.lovetheatre.com/book/1H9ZU-cabaret/
Carmen,https://www.lovetheatre.com/shows/carmen-tickets/,London Coliseum,08 October to 05 November 2025.,"Niamh O’Sullivan (Carmen), John Findon (Done José), Cory McGee (Escamillo), Ava Dodd (Micaela), Freddie Tong (Zuniga), Jolyon Loy (Morales), Harriet Eyley (Fraquita), Siân Griffiths (Mercedes), Patrick Alexander Keefe (Dancairo), Osian Wyn Bowen (Remendado).",N/A
Christmas Carol Goes Wrong,https://www.lovetheatre.com/shows/christmas-carol-goes-wrong-tickets/,Apollo Theatre,6 Dec 2025 – 25 Jan 2026,TBC,https://secure.lovetheatre.com/book/1H1RY-christmas-carol-goes-wrong/
Christmas with Anton Du Beke,https://www.lovetheatre.com/shows/christmas-with-anton-du-beke-tickets/,Theatre Royal Drury Lane,14 Dec 2025,"Anton Du Beke, Lance Ellington",https://secure.lovetheatre.com/book/1H4RC-christmas-with-anton-du-beke/
Cinderella (La Cenerentola),https://www.lovetheatre.com/shows/cinderella-la-cenerentola-tickets/,London Coliseum,27 September to 14 October 2025,"Yi-Chen Lin ( Conductor ), Julia Burbach ( Director ), Herbert Murauer ( Set Designer ), Sussie Juhlin-Wallén ( Costume Designer ), Malcolm Rippeth ( Lighting Designer ), Cameron McMillan ( Choreographer ), Christopher Cowell ( Translator ).",N/A
"Clueless, The Musical",https://www.lovetheatre.com/shows/clueless-the-musical-tickets/,Trafalgar Theatre,15 Feb – Sat 28 Mar 2026,"Amy Heckerling (Writer), Rachel Kavanaugh (Director), KT Tunstall (Music), Glenn Slater (Lyrics)",https://secure.lovetheatre.com/book/1GTJ2-clueless-the-musical/
Così fan tutte,https://www.lovetheatre.com/shows/cosi-fan-tutte-tickets/,London Coliseum,6 Feb – 21 Feb 2026,"Andrew Foster-Williams (Don Alfonso), Samantha Clarke, Bethany Horak-Hallett, Joshua Blue, Darwin Prakash, and Ailish Tynan (Despina).",N/A
Daniel's Husband,https://www.lovetheatre.com/shows/daniels-husband-tickets/,Marylebone Theatre,04 Dec 2025 to 10 Jan 2026.,"Written byMichael McKeever, directed byAlan Souza, set and costume design byLee Newby, lighting design byJamie Platt, sound design bySarah Weltman, Casting byArthur Carrington, artwork bySteph Pyne Design, general managementJames Steel Productions, ‍production managementCharlie Rayner forProduction Solutions Group,lead producerPlastered Productions.",https://secure.lovetheatre.com/book/1HAWG-daniel-s-husband/
Dead Man Walking,https://www.lovetheatre.com/shows/dead-man-walking-tickets/,London Coliseum,1 November – Tuesday 18 November 2025.,"Christine Rice (Sister Helen Prejean), Michael Mayes (Joseph De Rocher), Sarah Connolly (Mrs Patrick De Rocher), Madeline Boreham (Sister Rose), Andrew Manea (Warden George Benton), Ronald Samm (Father Grenville), Gweneth Ann Rand (Kitty Hart), Jacques Imbrailo (Owen Hart), Catherine Carby (Jade Boucher), Hubert Francis (Howard Bucher), Zwakele Tshabalala (Motorcycle Cop), Michael Lafferty (Older Brother), Marcus Swietlicki (Younger Brother), Olivia Rose Tringham (Sister Catherine), Amy Holyland (Sister Lillianne), Alaric Green (Prison Guard 1), Malachy Frame (Prison Guard 2).",N/A
DIAMONDS and DUST,https://www.lovetheatre.com/shows/diamonds-and-dust-tickets/,Emerald Theatre,16 June 2025,"Dita Von Teese (Lady Luck), Faye Tozer (Miss Kitty LeRoy), Tosca Rivola (Speciality 1), Candace Cane (Speciality 2 / 3),Lady Lydia (Speciality 2 / 3), Zoë Marshall (Speciality 2 / 3), Didi Derrière (Alternate Lady Luck), Katie Dundsden (Alternate Miss Kitty LeRoy / Swing), Alexandros Beshonges (Swing), Isabelle Bosher (Ensemble & Understudy Speciality 2), Bethany Chan (Ensemble & Understudy Lady Luck), Georgia Eddon-Burke (Swing & Understudy Miss Kitty LeRoy), Hollie Kate (Swing & Understudy Speciality 1),Cristian Liberti (Ensemble), Callum Quinnen (Swing), Manny Tsakanika (Ensemble / Fight Captain), Zinzile Tshuma (Ensemble & Understudy Lady Luck), Sienna Walker (Ensemble & Understudy Speciality 1), Niko Wirachman (Onstage Swing / Dance Captain)",https://secure.lovetheatre.com/book/1H6M0-diamonds-and-dust/
Disney's Hercules the Musical,https://www.lovetheatre.com/shows/disneys-hercules-the-musical-tickets/,Theatre Royal Drury Lane,6 Jun 2025 – 28 Mar 2026,"Casey Nicholaw (Director and Choreographer),  Alan Menken (Music), David Zippel (Lyrics), Robert Horn and Kwame Kwei-Armah (Book), Tanisha Scott (Choreographer)",https://secure.lovetheatre.com/book/1GVLR-disney-s-hercules/
Disney's The Lion King,https://www.lovetheatre.com/shows/the-lion-king-tickets/,Lyceum Theatre,"29th March 2026. Tickets are available from just £29.Matinee performancesare available onSunday, Wednesday and Saturday at 2.30pm. Evening performances at 7.30pm Tuesday to Saturday","George Asprey (Scar) , Shaun Esoffery (Mufasa), Thenjiwe ‘Thendiva’ Nofemele (Rafiki), Gary Jordan (Zazu), Jamie McGregor (Timon), Mark Roper (Pumbaa), Owen Chaponda (Simba), Meryl Ansah (Nala), Rhiane Drummond (Shenzi), Jorell Coiffic-Kamall (Banzai), Mark Tatham (Ed), Emrys Zeph Adamah (Young Simba), Divine Cole (Young Nala), Rio Odame Danquah (Young Simba), Carmelo Ivan Seruw-Pedroso (Young Simba), Kobe Warmington (Young Simba), Amber Koduah-Hutchinson (Young Nala), Ocean Monilal (Young Nala), Sahara Sandy (Young Nala).",https://secure.lovetheatre.com/book/1DR6R-disney-s-the-lion-king/
Dracula,https://www.lovetheatre.com/shows/dracula-tickets/,Lyric Hammersmith,11 Sep – 11 Oct 2025,"Morgan Lloyd Malcolm (Writer), Emma Baggott (Director), Bram Stoker (Novel)",https://secure.lovetheatre.com/book/1GUZL-dracula/
Echo,https://www.lovetheatre.com/shows/echo-tickets/,King’s Head Theatre,18 July – 17 August 2025.,"Amara Okereke (She), Kyle Rowe (He).",https://secure.lovetheatre.com/book/1HA18-echo/
Every Brilliant Thing,https://www.lovetheatre.com/shows/every-brilliant-thing-tickets/,@sohoplace,1 Aug – 27 Sep 2025,"Lenny Henry (1 Aug – 30 Aug), Jonny Donahoe (13 Aug – 1 Sep), Ambika Mod (2 Sep – 26 Sep), Sue Perkins (4 Sep – 27 Sep)",https://secure.lovetheatre.com/book/1HAPC-every-brilliant-thing/
Evita,https://www.lovetheatre.com/shows/evita-tickets/,London Palladium,14 Jun – 6 Sep 2025,"Rachel Zegler (Evita), Tim Rice & Andrew Lloyd Webber (Music & Lyrics), Jamie Lloyd (Director)",https://secure.lovetheatre.com/book/1H1RG-evita/
Éireann,https://www.lovetheatre.com/shows/eireann-tickets/,Peacock Theatre,28 August – Saturday 31 August 2025.,Brent Pace (Director/Producer) Ceili Moore (Co-Director/Producer) Charlie Galloway (Musical Direction).,https://secure.lovetheatre.com/book/1HAVR-eireann/
Fanny,https://www.lovetheatre.com/shows/fanny-tickets/,King’s Head Theatre,10 October to 15 November 2025.,"Calum Finlay (Writer), Katie-Ann McDonough (Director), RJG Productions (Producer), Charlie Russell (Fanny & Creative Associate), The Watermill Theatre (Associate Producer), Arabella Neville-Rolfe (PR), Pamela Raith (Photography).",https://secure.lovetheatre.com/book/1H2NL-fanny/
Faulty Towers The Dining Experience,https://www.lovetheatre.com/shows/faulty-towers-the-dining-experience-tickets/,President Hotel,31st October 2024 – Sunday 21st December 2025,TBC,https://secure.lovetheatre.com/book/1GLTR-faulty-towers-the-dining-experience-in-london-s-west-end/
Fawlty Towers - The Play,https://www.lovetheatre.com/shows/fawlty-towers-the-play-tickets/,Apollo Theatre,"24 Jun – 13 Sep 2025. Performance time Mon-Sat at 7.30pm with additionalmatinee performancesat 2.30pm on Wednesday, Thursday and Saturday","John Cleese (Adaptation), Caroline Jay Ranger (Director)",https://secure.lovetheatre.com/book/1G2T4-fawlty-towers-the-play/
Fiddler On The Roof,https://www.lovetheatre.com/shows/fiddler-on-the-roof-tickets/,Barbican Theatre,24 May – 19 Jul 2025,"Adam Dannheisser (Tevye), Lara Pulver (Golde), Beverley Klein (Yente)",https://secure.lovetheatre.com/book/1GZHA-fiddler-on-the-roof/
Four Play,https://www.lovetheatre.com/shows/four-play-tickets/,King’s Head Theatre,16 July – 17 August 2025.,"Daniel Bravo (Michael), Lewis Cornay (Rafe), Jo Foster (Andy), Zheng Xi Yong (Pete), Jack Gibson (Cover).",https://secure.lovetheatre.com/book/1HA1A-fourplay/
Frameless,https://www.lovetheatre.com/shows/frameless-tickets/,Frameless,8 Sep 2023 – 31 Mar 2026 and tickets are available now. See the calendar for full list of times.,TBC,https://secure.lovetheatre.com/book/1GP2C-frameless/
Get Down Tonight: The KC And The Sunshine Band Musical,https://www.lovetheatre.com/shows/get-down-tonight-the-kc-and-the-sunshine-band-musical-tickets/,Charing Cross Theatre,19 Sep – 15 Nov 2025.,"Henry Wayne Casey (Producer), J. F. Lawton (Writer)",https://secure.lovetheatre.com/book/1H51J-get-down-tonight-the-kc-and-the-sunshine-band-musical/
Ghost Stories,https://www.lovetheatre.com/shows/ghost-stories-tickets/,Peacock Theatre,30 Sep – 08 Nov 2025.,N/A,https://secure.lovetheatre.com/book/1H4B8-ghost-stories/
Giant,https://www.lovetheatre.com/shows/giant-tickets/,Harold Pinter Theatre,26 Apr – 2 Aug 2025,"John Lithgow (Roald Dahl), Elliot Levey (Tom Maschler), Rachael Stirling (Felicity Crosland) and Richard Hope (Wally Saunders)",https://secure.lovetheatre.com/book/1GZVR-giant/
Girl from the North Country,https://www.lovetheatre.com/shows/girl-from-the-north-country-tickets/,The Old Vic,24 June – 23 August 2025.,"Conor McPherson (Writer & Director), Bob Dylan (Music & Lyrics)",https://secure.lovetheatre.com/book/1H6FE-girl-from-the-north-country/
"Good Night, Oscar",https://www.lovetheatre.com/shows/good-night-oscar-tickets/,Barbican Theatre,31 Jul – 21 Sep 2025,Sean Hayes,https://secure.lovetheatre.com/book/1H0DC-good-night-oscar/
Hadestown,https://www.lovetheatre.com/shows/hadestown-tickets/,Lyric Theatre,20 Mar – 28 Sep 2025.,"Anaïs Mitchell (Music, Lyrics, Book), Rachel Chavkin (Director), David Neumann (Choreographer), Rachel Hauck (Scenic Designer), Michael Krass (Costume Designer), Bradley King (Lighting Designer)",https://secure.lovetheatre.com/book/1FWKW-hadestown/
Hamilton,https://www.lovetheatre.com/shows/hamilton-tickets/,Victoria Palace Theatre,28 Mar 2026.,"Lin-Manuel Miranda (Book, music and lyrics), Thomas Kail (Director), Andy Blankenbuehler (Choreographer), Alex Lacamoire (Musical supervision and orchestrations).",https://secure.lovetheatre.com/book/1H1YN-hamilton/
